name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,Calories,Fat,Saturated,Carbs,Sugar,Fibre,protein,Salt
The Cheeseburger,Classic Crust,Medium,247,1036,9.7,4.3,29.4,6.8,1.9,9.6,1.28,0.5,564,2367,22.2,9.8,67.1,15.5,4.4,22,2.93,1.15,28.2,31.7,49,25.8,17.2,14.7,44,48.8
The Cheeseburger,Classic Crust,Small,221,926,8.1,3.6,25.9,4.6,2.1,10.3,1.14,0.45,1023,4276,37.5,16.8,119.7,21.4,9.5,47.6,5.25,2.06,51.1,53.6,84,46,23.8,31.7,95.2,87.5
The Cheeseburger,Classic Crust,Personal,270,1136,8.7,3.7,38.2,6.6,1.9,8.9,1.35,0.53,587,2472,18.9,8,83.2,14.4,4.1,19.4,2.93,1.15,29.3,27,40,32,16,13.7,38.8,48.8
The Cheeseburger,Italian Style Crust,Large,231,970,9.7,4.2,23.2,7.4,1.8,11.9,1.35,0.53,525,2204,22.1,9.5,52.8,16.7,4.1,27,3.06,1.2,26.2,31.6,47.5,20.3,18.6,13.7,54,51
The Cheeseburger,Italian Style Crust,Medium,231,967,9.7,4.2,23.9,7.2,2,11,1.35,0.53,455,1907,19.2,8.2,47.1,14.2,3.9,21.8,2.66,1.05,22.8,27.4,41,18.1,15.8,13,43.6,44.3
The Cheeseburger,Italian Style Crust,Small,245,1027,9.8,4.4,28.4,4.5,1.7,10,1.37,0.54,893,3750,35.9,16.1,103.7,16.3,6.3,36.6,4.99,1.96,44.6,51.3,80.5,39.9,18.1,21,73.2,83.2
The Cheeseburger,Stuffed Crust,Large,226,947,9.4,4.5,24,6.8,3.5,9.8,1.23,0.48,682,2857,28.3,13.6,72.3,20.4,10.5,29.6,3.72,1.46,34.1,40.4,68,27.8,22.7,35,59.2,62
The Cheeseburger,Stuffed Crust,Medium,236,991,10.3,4.7,25.5,6.9,3.4,9,1.27,0.5,652,2734,28.3,12.9,70.3,19.2,9.4,24.7,3.51,1.38,32.6,40.4,64.5,27,21.3,31.3,49.4,58.5
The Cheeseburger,Thin & Crispy Crust,Large,246,1032,11.4,4.9,25.8,6.3,1.7,9.4,1.26,0.5,489,2050,22.7,9.7,51.2,12.5,3.4,18.6,2.51,0.99,24.4,32.4,48.5,19.7,13.9,11.3,37.2,41.8
The Cheeseburger,Thin & Crispy Crust,Medium,256,1072,11.8,5.1,26,6.2,1.6,10.7,1.58,0.62,449,1881,20.7,8.9,45.7,10.9,2.8,18.9,2.77,1.09,22.4,29.6,44.5,17.6,12.1,9.3,37.8,46.2
The Beef Doner,Classic Crust,Large,235,990,8.2,4,28.9,6,1.9,10.8,1.31,0.52,584,2459,20.3,9.8,71.7,14.9,4.8,26.8,3.26,1.28,29.2,29,49,27.6,16.6,16,53.6,54.3
The Beef Doner,Classic Crust,Medium,242,1018,8.7,4.4,30.3,6.2,2.1,9.7,1.29,0.51,517,2174,18.7,9.3,64.8,13.1,4.6,20.7,2.76,1.08,25.9,26.7,46.5,24.9,14.6,15.3,41.4,46
The Beef Doner,Classic Crust,Small,250,1051,8.2,3.9,32.7,5.2,1.7,10.6,1.32,0.52,1083,4560,35.6,17.1,141.8,22.5,7.5,46,5.73,2.25,54.1,50.9,85.5,54.5,25,25,92,95.5
The Beef Doner,Classic Crust,Personal,268,1129,7.8,3.8,39.6,5.9,2.1,9,1.35,0.53,548,2312,16,7.7,81,12.1,4.3,18.5,2.76,1.09,27.4,22.9,38.5,31.2,13.4,14.3,37,46
The Beef Doner,Italian Style Crust,Large,226,947,8.7,4.3,23.9,6.7,2,12.1,1.35,0.53,475,1992,18.3,9,50.2,14.1,4.3,25.5,2.85,1.12,23.8,26.1,45,19.3,15.7,14.3,51,47.5
The Beef Doner,Italian Style Crust,Medium,224,941,8.6,4.3,24.6,6.5,2.2,11.2,1.37,0.54,409,1715,15.6,7.8,44.8,11.8,4,20.5,2.49,0.98,20.4,22.3,39,17.2,13.1,13.3,41,41.5
The Beef Doner,Italian Style Crust,Small,240,1008,8.8,4.5,29.5,3.6,1.9,10.1,1.38,0.54,809,3398,29.5,15.2,99.5,12,6.6,34.1,4.64,1.82,40.5,42.1,76,38.3,13.3,22,68.2,77.3
The Beef Doner,Stuffed Crust,Large,225,942,8.6,4.6,25,6.4,3.8,10,1.22,0.48,702,2942,27,14.5,78.1,19.9,11.9,31.1,3.82,1.5,35.1,38.6,72.5,30,22.1,39.7,62.2,63.7
The Beef Doner,Stuffed Crust,Medium,232,974,9.5,4.8,26.1,6.4,3.7,9,1.28,0.5,606,2542,24.8,12.5,68,16.8,9.6,23.4,3.34,1.31,30.3,35.4,62.5,26.2,18.7,32,46.8,55.7
The Beef Doner,Thin & Crispy Crust,Large,241,1011,10.4,5,26.8,5.4,2,9.4,1.26,0.5,439,1838,18.8,9.2,48.7,9.9,3.6,17.1,2.3,0.9,21.9,26.9,46,18.7,11,12,34.2,38.3
The Beef Doner,Thin & Crispy Crust,Medium,251,1052,10.7,5.2,27,5.3,1.8,10.9,1.62,0.64,403,1689,17.2,8.4,43.4,8.6,3,17.5,2.6,1.02,20.2,24.6,42,16.7,9.6,10,35,43.3
The Meatfielder,Classic Crust,Large,304,1274,14.1,5.8,29.7,5.9,1.8,13.7,1.73,0.68,718,3015,33.3,13.8,70.2,13.9,4.4,32.5,4.1,1.61,35.9,47.6,69,27,15.4,14.7,65,68.3
The Meatfielder,Classic Crust,Medium,315,1321,15.2,6.4,30.7,5.9,2,12.8,1.75,0.69,652,2734,31.5,13.2,63.6,12.3,4.2,26.5,3.62,1.42,32.6,45,66,24.5,13.7,14,53,60.3
The Meatfielder,Classic Crust,Small,282,1178,13.2,5.5,26.6,3.6,2.1,13.3,1.57,0.62,1205,5032,56.4,23.5,113.4,15.4,9.1,56.8,6.69,2.63,60.2,80.6,117.5,43.6,17.1,30.3,113.6,111.5
The Meatfielder,Classic Crust,Personal,337,1415,15,5.9,37.3,5.3,1.9,12.4,1.89,0.74,729,3060,32.4,12.7,80.6,11.4,4,26.7,4.09,1.61,36.4,46.3,63.5,31,12.7,13.3,53.4,68.2
The Meatfielder,Italian Style Crust,Large,307,1284,15.7,6.5,24.5,6.6,1.9,15.8,1.86,0.73,609,2548,31.3,12.9,48.7,13.1,3.8,31.3,3.69,1.45,30.4,44.7,64.5,18.7,14.6,12.7,62.6,61.5
The Meatfielder,Italian Style Crust,Medium,310,1297,16.3,6.7,24.7,6.2,2.1,15,1.92,0.76,548,2292,28.9,11.8,43.6,11,3.7,26.5,3.39,1.33,27.4,41.3,59,16.8,12.2,12.3,53,56.5
The Meatfielder,Italian Style Crust,Small,326,1365,16.6,6.9,29.5,3.1,1.8,13.9,1.95,0.77,1076,4505,54.8,22.8,97.4,10.3,5.9,45.9,6.43,2.53,53.8,78.3,114,37.5,11.4,19.7,91.8,107.2
The Meatfielder,Stuffed Crust,Large,280,1172,13.7,6.2,25,6.2,3.7,12.4,1.59,0.63,955,3993,46.7,21.2,85.1,21,12.7,42.2,5.42,2.13,47.8,66.7,106,32.7,23.3,42.3,84.4,90.3
The Meatfielder,Stuffed Crust,Medium,291,1219,14.8,6.4,26.3,6.3,3.6,11.5,1.65,0.65,741,3101,37.7,16.3,66.8,15.9,9.2,29.3,4.21,1.65,37,53.9,81.5,25.7,17.7,30.7,58.6,70.2
The Meatfielder,Thin & Crispy Crust,Large,337,1409,18.7,7.7,27.8,5.2,1.8,13.4,1.85,0.73,573,2394,31.8,13.1,47.2,8.9,3.1,22.8,3.14,1.23,28.6,45.4,65.5,18.2,9.9,10.3,45.6,52.3
The Meatfielder,Thin & Crispy Crust,Medium,350,1461,19.5,8,27.4,5,1.7,15.2,2.25,0.88,538,2248,30,12.3,42.2,7.7,2.6,23.4,3.46,1.36,26.9,42.9,61.5,16.2,8.6,8.7,46.8,57.7
The Sizzler,Classic Crust,Large,284,1191,10.9,4.4,34.1,6.4,2.3,11.1,1.76,0.69,662,2772,25.5,10.2,79.5,15,5.4,25.8,4.09,1.61,33.1,36.4,51,30.6,16.7,18,51.6,68.2
The Sizzler,Classic Crust,Medium,290,1216,11.3,4.5,33.2,5,2.4,12.6,1.91,0.75,584,2452,22.9,9.1,67,10.1,4.8,25.4,3.84,1.51,29.2,32.7,45.5,25.8,11.2,16,50.8,64
The Sizzler,Classic Crust,Small,323,1356,12.4,5,37.9,6.2,3.4,13.5,1.84,0.72,1335,5596,51,20.7,156.3,25.6,14.2,55.5,7.6,2.99,66.8,72.9,103.5,60.1,28.4,47.3,111,126.7
The Sizzler,Classic Crust,Personal,320,1345,10.5,4.3,41.7,6.1,3.3,13.1,1.81,0.71,606,2544,19.9,8.1,78.8,11.5,6.2,24.7,3.42,1.34,30.3,28.4,40.5,30.3,12.8,20.7,49.4,57
The Sizzler,Italian Style Crust,Large,284,1189,12.7,5,28.1,7.8,2.5,13.1,1.89,0.75,553,2314,24.7,9.8,54.7,15.1,4.9,25.5,3.69,1.45,27.7,35.3,49,21,16.8,16.3,51,61.5
The Sizzler,Italian Style Crust,Medium,281,1177,12.6,5,27.6,7.4,3.2,12.7,2.27,0.89,479,2005,21.6,8.5,47,12.5,5.5,21.6,3.88,1.52,23.9,30.9,42.5,18.1,13.9,18.3,43.2,64.7
The Sizzler,Italian Style Crust,Small,292,1221,13.3,5.3,28.5,5.1,2.6,13.2,2.38,0.94,922,3855,42,16.6,90,16.2,8.1,41.8,7.52,2.96,46.1,60,83,34.6,18,27,83.6,125.3
The Sizzler,Stuffed Crust,Large,270,1128,11.4,4.9,29.4,6.9,2.5,11,1.97,0.77,726,3037,30.7,13.3,79.1,18.5,6.6,29.7,5.3,2.08,36.3,43.9,66.5,30.4,20.6,22,59.4,88.3
The Sizzler,Stuffed Crust,Medium,279,1169,12.5,5.5,24,6.8,2.9,16.2,2,0.79,696,2913,31.2,13.8,59.9,17.1,7.1,40.3,4.98,1.96,34.8,44.6,69,23,19,23.7,80.6,83
The Sizzler,Thin & Crispy Crust,Large,295,1234,14.3,6,26.8,4.9,2.9,13.3,1.93,0.76,490,2050,23.8,9.9,44.5,8.1,4.9,22.1,3.2,1.26,24.5,34,49.5,17.1,9,16.3,44.2,53.3
The Sizzler,Thin & Crispy Crust,Medium,310,1299,15,6.2,31,5,2.5,11.6,2.03,0.8,461,1931,22.4,9.3,46.1,7.4,3.7,17.2,3.02,1.19,23.1,32,46.5,17.7,8.2,12.3,34.4,50.3
Tuna Supreme,Classic Crust,Large,254,1069,7.9,3.7,32.2,6.6,2.1,12.6,1.09,0.43,573,2416,18,8.3,72.9,14.8,4.7,28.5,2.47,0.97,28.6,25.7,41.5,28,16.4,15.7,57,41.2
Tuna Supreme,Classic Crust,Medium,260,1096,8.4,4.1,34.2,6.9,2.3,11.1,1.04,0.41,503,2114,16.2,7.9,66.1,13.3,4.5,21.4,2,0.79,25.1,23.1,39.5,25.4,14.8,15,42.8,33.3
Tuna Supreme,Classic Crust,Small,232,973,6.8,3.4,29.8,4.3,2.4,12.1,0.9,0.36,915,3833,27,13.3,117.2,16.8,9.5,47.5,3.56,1.4,45.8,38.6,66.5,45.1,18.7,31.7,95,59.3
Tuna Supreme,Classic Crust,Personal,291,1230,7.5,3.5,44.5,6.5,2.2,10.7,1.14,0.45,536,2261,13.8,6.4,81.8,11.9,4.1,19.7,2.09,0.82,26.8,19.7,32,31.5,13.2,13.7,39.4,34.8
Tuna Supreme,Italian Style Crust,Large,247,1037,8.5,4,27.4,7.5,2.2,14.5,1.09,0.43,464,1949,15.9,7.5,51.4,14,4.1,27.3,2.06,0.81,23.2,22.7,37.5,19.8,15.6,13.7,54.6,34.3
Tuna Supreme,Italian Style Crust,Medium,244,1024,8.2,3.9,28.5,7.4,2.4,13.1,1.07,0.42,394,1655,13.2,6.3,46.1,11.9,4,21.2,1.73,0.68,19.7,18.9,31.5,17.7,13.2,13.3,42.4,28.8
Tuna Supreme,Italian Style Crust,Small,265,1114,8.5,4.2,34.1,4,2.1,12.3,1.11,0.44,786,3306,25.4,12.6,101.1,11.8,6.3,36.6,3.31,1.3,39.3,36.3,63,38.9,13.1,21,73.2,55.2
Tuna Supreme,Stuffed Crust,Large,236,991,8.4,4.4,27,6.8,4,11.4,1.03,0.41,620,2603,22,11.5,70.9,17.7,10.5,29.9,2.71,1.07,31,31.4,57.5,27.3,19.7,35,59.8,45.2
Tuna Supreme,Stuffed Crust,Medium,246,1032,9.3,4.6,28.8,7,3.9,10,1.07,0.42,591,2482,22.4,11,69.3,16.9,9.5,24.1,2.58,1.01,29.5,32,55,26.7,18.8,31.7,48.2,43
Tuna Supreme,Thin & Crispy Crust,Large,268,1126,10.3,4.8,31.3,6.1,2.1,11.8,0.95,0.37,428,1795,16.5,7.6,49.9,9.8,3.4,18.9,1.51,0.59,21.4,23.6,38,19.2,10.9,11.3,37.8,25.2
Tuna Supreme,Thin & Crispy Crust,Medium,277,1164,10.5,5,31.9,6.2,2,13.1,1.31,0.52,388,1629,14.8,7,44.7,8.7,2.9,18.3,1.84,0.72,19.4,21.1,35,17.2,9.7,9.7,36.6,30.7
Veg-a-Roma,Classic Crust,Large,249,1045,8.2,3.4,34.5,6.9,2.6,8.2,1.12,0.44,570,2389,18.7,7.7,79,15.9,5.9,18.6,2.56,1.01,28.5,26.7,38.5,30.4,17.7,19.7,37.2,42.7
Veg-a-Roma,Classic Crust,Medium,252,1060,8.2,3.3,33.9,5.6,2.7,9.4,1.22,0.48,493,2074,16.1,6.6,66.4,10.9,5.2,18.5,2.39,0.94,24.6,23,33,25.5,12.1,17.3,37,39.8
Veg-a-Roma,Classic Crust,Small,290,1218,9.4,3.9,38.9,6.8,3.7,10.7,1.21,0.48,1158,4861,37.6,15.6,155.3,27,15,42.6,4.84,1.91,57.9,53.7,78,59.7,30,50,85.2,80.7
Veg-a-Roma,Classic Crust,Personal,289,1213,8.2,3.4,41.8,6.5,3.5,10.2,1.22,0.48,541,2273,15.4,6.4,78.4,12.2,6.5,19.2,2.28,0.9,27.1,22,32,30.2,13.6,21.7,38.4,38
Veg-a-Roma,Italian Style Crust,Large,242,1013,9.4,3.8,28.4,8.4,2.8,9.6,1.13,0.44,461,1932,18,7.3,54.2,16,5.3,18.3,2.15,0.85,23.1,25.7,36.5,20.8,17.8,17.7,36.6,35.8
Veg-a-Roma,Italian Style Crust,Medium,236,990,9,3.7,28.2,8.1,3.6,9,1.47,0.58,388,1628,14.8,6,46.4,13.3,5.9,14.7,2.42,0.95,19.4,21.1,30,17.8,14.8,19.7,29.4,40.3
Veg-a-Roma,Italian Style Crust,Small,246,1032,9.5,3.8,29.5,5.8,2.9,9.6,1.58,0.62,745,3121,28.6,11.6,89.1,17.6,8.8,28.9,4.77,1.87,37.2,40.9,58,34.3,19.6,29.3,57.8,79.5
Veg-a-Roma,Stuffed Crust,Large,239,1001,9,4.1,29.7,7.3,2.7,8.5,1.42,0.56,634,2655,23.9,10.8,78.7,19.4,7.1,22.6,3.77,1.48,31.7,34.1,54,30.3,21.6,23.7,45.2,62.8
Veg-a-Roma,Stuffed Crust,Medium,249,1043,10.1,4.6,24.4,7.3,3.1,13.7,1.45,0.57,605,2535,24.5,11.3,59.3,17.8,7.5,33.4,3.52,1.38,30.2,35,56.5,22.8,19.8,25,66.8,58.7
Veg-a-Roma,Thin & Crispy Crust,Large,245,1029,10.5,4.6,27.1,5.5,3.3,9.2,1.03,0.4,398,1668,17.1,7.4,44,9,5.3,15,1.67,0.66,19.9,24.4,37,16.9,10,17.7,30,27.8
Veg-a-Roma,Thin & Crispy Crust,Medium,260,1089,11,4.7,31.9,5.7,2.9,7.2,1.1,0.43,370,1553,15.6,6.8,45.5,8.2,4.1,10.3,1.56,0.61,18.5,22.3,34,17.5,9.1,13.7,20.6,26
Vegi Classic,Classic Crust,Large,234,984,7.1,3.6,31,6.6,2.1,10.5,1.02,0.4,528,2224,16.1,8,70.1,15,4.7,23.8,2.3,0.9,26.4,23,40,27,16.7,15.7,47.6,38.3
Vegi Classic,Classic Crust,Medium,242,1017,7.7,4,32.8,6.8,2.3,9.4,0.97,0.38,467,1963,14.8,7.7,63.4,13.2,4.5,18.1,1.87,0.74,23.4,21.1,38.5,24.4,14.7,15,36.2,31.2
Vegi Classic,Classic Crust,Small,214,896,6.1,3.3,28.6,4.3,2.4,10.2,0.83,0.33,843,3529,24,12.9,112.8,17,9.6,40.2,3.29,1.29,42.1,34.3,64.5,43.4,18.9,32,80.4,54.8
Vegi Classic,Classic Crust,Personal,272,1147,6.7,3.4,43.3,6.1,2.2,8.7,1.06,0.42,499,2108,12.3,6.2,79.5,11.3,4.1,16,1.95,0.77,24.9,17.6,31,30.6,12.6,13.7,32,32.5
Vegi Classic,Italian Style Crust,Large,223,935,7.5,3.8,25.9,7.5,2.2,12,1,0.39,418,1757,14,7.2,48.6,14.1,4.2,22.6,1.88,0.74,20.9,20,36,18.7,15.7,14,45.2,31.3
Vegi Classic,Italian Style Crust,Medium,221,930,7.3,3.8,26.8,7.3,2.5,11,0.99,0.39,358,1504,11.8,6.1,43.3,11.9,4,17.8,1.61,0.63,17.9,16.9,30.5,16.7,13.2,13.3,35.6,26.8
Vegi Classic,Italian Style Crust,Small,240,1012,7.6,4.1,32.6,4,2.2,9.8,1.02,0.4,714,3003,22.4,12.2,96.8,12,6.4,29.2,3.03,1.19,35.7,32,61,37.2,13.3,21.3,58.4,50.5
Vegi Classic,Stuffed Crust,Large,219,918,7.7,4.3,26,6.8,4,9.6,0.97,0.38,575,2411,20.2,11.2,68.2,17.9,10.6,25.2,2.54,1,28.7,28.9,56,26.2,19.9,35.3,50.4,42.3
Vegi Classic,Stuffed Crust,Medium,231,969,8.7,4.5,27.7,7,4,8.6,1.02,0.4,555,2330,21,10.8,66.6,16.8,9.5,20.8,2.46,0.97,27.8,30,54,25.6,18.7,31.7,41.6,41
Vegi Classic,Thin & Crispy Crust,Large,240,1006,9.2,4.6,29.6,6.2,2.2,8.9,0.84,0.33,382,1603,14.6,7.4,47.1,9.9,3.5,14.2,1.33,0.52,19.1,20.9,37,18.1,11,11.7,28.4,22.2
Vegi Classic,Thin & Crispy Crust,Medium,252,1056,9.5,4.9,30,6.1,2.1,10.7,1.22,0.48,352,1477,13.4,6.8,41.9,8.6,2.9,14.9,1.71,0.67,17.6,19.1,34,16.1,9.6,9.7,29.8,28.5
Vegi Sizzler,Classic Crust,Large,231,972,7.1,3.5,30.7,6.4,2,10.3,1.01,0.4,525,2212,16.1,8,69.9,14.7,4.5,23.4,2.3,0.9,26.2,23,40,26.9,16.3,15,46.8,38.3
Vegi Sizzler,Classic Crust,Medium,238,1003,7.6,3.9,32.5,6.6,2.2,9.1,0.96,0.38,464,1953,14.8,7.7,63.2,12.9,4.3,17.7,1.87,0.74,23.2,21.1,38.5,24.3,14.3,14.3,35.4,31.2
Vegi Sizzler,Classic Crust,Small,210,878,6,3.2,28.1,4.1,2.3,9.9,0.82,0.32,840,3514,24,12.9,112.6,16.6,9.3,39.5,3.28,1.29,42,34.3,64.5,43.3,18.4,31,79,54.7
Vegi Sizzler,Classic Crust,Personal,269,1137,6.7,3.3,43,6.4,2.2,8.4,1.06,0.42,497,2100,12.3,6.2,79.5,11.8,4,15.6,1.95,0.77,24.9,17.6,31,30.6,13.1,13.3,31.2,32.5
Vegi Sizzler,Italian Style Crust,Large,219,920,7.4,3.8,25.6,7.3,2.1,11.7,0.99,0.39,415,1745,14,7.2,48.5,13.8,4,22.2,1.88,0.74,20.8,20,36,18.7,15.3,13.3,44.4,31.3
Vegi Sizzler,Italian Style Crust,Medium,218,914,7.2,3.8,26.4,7.1,2.3,10.7,0.98,0.39,356,1494,11.8,6.1,43.2,11.6,3.8,17.5,1.61,0.63,17.8,16.9,30.5,16.6,12.9,12.7,35,26.8
Vegi Sizzler,Italian Style Crust,Small,234,986,7.4,4,31.9,3.8,2,9.4,1,0.39,710,2987,22.4,12.2,96.5,11.6,6.1,28.5,3.03,1.19,35.5,32,61,37.1,12.9,20.3,57,50.5
Vegi Sizzler,Stuffed Crust,Large,217,908,7.6,4.3,25.7,6.7,3.9,9.4,0.96,0.38,572,2399,20.2,11.2,68,17.6,10.3,24.7,2.54,1,28.6,28.9,56,26.2,19.6,34.3,49.4,42.3
Vegi Sizzler,Stuffed Crust,Medium,228,958,8.7,4.5,27.4,6.8,3.8,8.4,1.01,0.4,553,2321,21,10.8,66.4,16.6,9.3,20.4,2.46,0.97,27.7,30,54,25.5,18.4,31,40.8,41
Vegi Sizzler,Thin & Crispy Crust,Large,236,988,9,4.6,29.2,6,2,8.5,0.83,0.33,379,1592,14.6,7.4,47,9.6,3.3,13.8,1.33,0.52,18.9,20.9,37,18.1,10.7,11,27.6,22.2
Vegi Sizzler,Thin & Crispy Crust,Medium,247,1036,9.4,4.8,29.5,5.9,1.9,10.3,1.21,0.47,350,1468,13.3,6.8,41.8,8.3,2.7,14.5,1.71,0.67,17.5,19,34,16.1,9.2,9,29,28.5
Vegi Supreme,Classic Crust,Large,229,965,6.9,3.4,30.7,6.4,2.1,10.2,0.98,0.38,539,2271,16.3,8.1,72.2,15,4.9,24.1,2.3,0.9,27,23.3,40.5,27.8,16.7,16.3,48.2,38.3
Vegi Supreme,Classic Crust,Medium,236,994,7.5,3.8,32.3,6.5,2.3,9.1,0.93,0.37,477,2006,15.1,7.7,65.3,13.2,4.7,18.3,1.87,0.74,23.8,21.6,38.5,25.1,14.7,15.7,36.6,31.2
Vegi Supreme,Classic Crust,Small,210,878,5.9,3.1,28.3,4.2,2.4,9.9,0.8,0.32,862,3608,24.4,12.9,116.3,17.1,9.9,40.6,3.29,1.29,43.1,34.9,64.5,44.7,19,33,81.2,54.8
Vegi Supreme,Classic Crust,Personal,266,1123,6.5,3.2,42.5,6.3,2.2,8.4,1.02,0.4,508,2145,12.5,6.2,81.2,12,4.3,16.1,1.95,0.77,25.4,17.9,31,31.2,13.3,14.3,32.2,32.5
Vegi Supreme,Italian Style Crust,Large,218,914,7.2,3.7,25.7,7.2,2.2,11.6,0.95,0.38,429,1804,14.3,7.2,50.7,14.1,4.4,22.9,1.88,0.74,21.4,20.4,36,19.5,15.7,14.7,45.8,31.3
Vegi Supreme,Italian Style Crust,Medium,216,907,7.1,3.6,26.5,7,2.4,10.6,0.94,0.37,368,1546,12.1,6.2,45.2,11.9,4.1,18.1,1.61,0.63,18.4,17.3,31,17.4,13.2,13.7,36.2,26.8
Vegi Supreme,Italian Style Crust,Small,233,981,7.3,3.9,31.9,3.8,2.1,9.4,0.97,0.38,732,3081,22.8,12.2,100.2,12,6.7,29.6,3.03,1.19,36.6,32.6,61,38.5,13.3,22.3,59.2,50.5
Vegi Supreme,Stuffed Crust,Large,215,904,7.5,4.1,25.8,6.6,3.9,9.3,0.93,0.37,586,2458,20.4,11.3,70.3,17.9,10.7,25.4,2.54,1,29.3,29.1,56.5,27,19.9,35.7,50.8,42.3
Vegi Supreme,Stuffed Crust,Medium,227,953,8.5,4.4,27.5,6.8,3.9,8.4,0.99,0.39,566,2373,21.2,10.9,68.5,16.8,9.7,21,2.46,0.97,28.3,30.3,54.5,26.3,18.7,32.3,42,41
Vegi Supreme,Thin & Crispy Crust,Large,233,977,8.8,4.4,29.2,5.9,2.2,8.5,0.79,0.31,393,1650,14.8,7.4,49.2,9.9,3.7,14.4,1.33,0.53,19.7,21.1,37,18.9,11,12.3,28.8,22.2
Vegi Supreme,Thin & Crispy Crust,Medium,244,1023,9.1,4.6,29.5,5.8,2,10.2,1.15,0.45,367,1538,13.7,6.9,44.3,8.7,3.1,15.3,1.73,0.68,18.4,19.6,34.5,17,9.7,10.3,30.6,28.8
Vegi Volcano,Classic Crust,Large,253,1059,9.7,4.4,31.3,6.4,2.2,9,1.34,0.53,621,2602,23.7,10.8,77,15.8,5.4,22.2,3.3,1.3,31.1,33.9,54,29.6,17.6,18,44.4,55
Vegi Volcano,Classic Crust,Medium,255,1072,9.8,4.5,30.5,5.1,2.2,10.3,1.44,0.57,539,2264,20.7,9.4,64.4,10.8,4.7,21.7,3.04,1.19,27,29.6,47,24.8,12,15.7,43.4,50.7
Vegi Volcano,Classic Crust,Small,292,1226,10.8,4.9,35.9,6.3,3.3,11.4,1.41,0.56,1228,5150,45.2,20.4,150.8,26.5,13.8,47.7,5.94,2.34,61.4,64.6,102,58,29.4,46,95.4,99
Vegi Volcano,Classic Crust,Personal,289,1211,9.6,4.4,38.2,6.1,3,10.9,1.38,0.54,572,2401,19,8.7,75.7,12.1,5.9,21.5,2.74,1.08,28.6,27.1,43.5,29.1,13.4,19.7,43,45.7
Vegi Volcano,Italian Style Crust,Large,247,1033,11.1,5,25.1,7.7,2.3,10.5,1.39,0.55,512,2145,23,10.4,52.2,15.9,4.8,21.9,2.89,1.14,25.6,32.9,52,20.1,17.7,16,43.8,48.2
Vegi Volcano,Italian Style Crust,Medium,241,1010,10.8,4.9,24.7,7.4,3,10,1.71,0.67,434,1817,19.4,8.9,44.4,13.3,5.3,17.9,3.07,1.21,21.7,27.7,44.5,17.1,14.8,17.7,35.8,51.2
Vegi Volcano,Italian Style Crust,Small,252,1056,11.2,5.1,26.2,5.3,2.4,10.5,1.82,0.71,815,3410,36.2,16.3,84.6,17.1,7.7,34,5.86,2.3,40.8,51.7,81.5,32.5,19,25.7,68,97.7
Vegi Volcano,Stuffed Crust,Large,243,1016,10.3,4.9,27.2,6.9,2.3,9.2,1.6,0.63,685,2867,29,13.9,76.6,19.3,6.5,26.1,4.5,1.77,34.2,41.4,69.5,29.5,21.4,21.7,52.2,75
Vegi Volcano,Stuffed Crust,Medium,252,1053,11.2,5.5,22.2,6.9,2.7,14.2,1.61,0.63,650,2724,29,14.1,57.4,17.8,7,36.6,4.17,1.64,32.5,41.4,70.5,22.1,19.8,23.3,73.2,69.5
Vegi Volcano,Thin & Crispy Crust,Large,251,1050,12.3,5.9,23.4,5,2.7,10.3,1.34,0.53,449,1880,22.1,10.5,42,8.9,4.8,18.5,2.4,0.95,22.4,31.6,52.5,16.2,9.9,16,37,40
Vegi Volcano,Thin & Crispy Crust,Medium,263,1102,12.8,6.1,27.5,5.1,2.3,8.6,1.4,0.55,416,1743,20.2,9.6,43.5,8.1,3.6,13.5,2.21,0.87,20.8,28.9,48,16.7,9,12,27,36.8
